shift_id,employee_id,role,shift_type,day_of_week,hour_start,hour_end,employee_count,expected_sales_cents,sales_total_cents,assigned_sales_cents,orders_count,tips_received_cents
c55e831c-ae99-54a0-ab18-5dd2ea85e140,20bedfcb-f538-582e-8520-ee183763971e,HOST,DINNER,3,17,23,8,955057,863371,0,168,10289
c55e831c-ae99-54a0-ab18-5dd2ea85e140,8d59a294-8483-5acb-9baf-a6d5a5cc4432,SERVER,DINNER,3,17,23,8,955057,863371,142857,168,23726
c55e831c-ae99-54a0-ab18-5dd2ea85e140,9214be70-6bd8-51be-ab21-b45d9b028cd1,SERVER,DINNER,3,17,23,8,955057,863371,125540,168,15760
c55e831c-ae99-54a0-ab18-5dd2ea85e140,9b876e46-887f-53e8-ae65-2b4ce255c5d1,COOK,DINNER,3,17,23,8,955057,863371,0,168,4643
c55e831c-ae99-54a0-ab18-5dd2ea85e140,a9c66e2f-74ca-5661-af34-44b59496d0ef,BARTENDER,DINNER,3,17,23,8,955057,863371,286228,168,43311
c55e831c-ae99-54a0-ab18-5dd2ea85e140,dbae16d0-2e7b-5c54-afe3-efdd3c759ac9,BUSSER,DINNER,3,17,23,8,955057,863371,0,168,10828
c55e831c-ae99-54a0-ab18-5dd2ea85e140,df7f7bd6-de17-5af0-bcc4-763ea48a8cf0,SERVER,DINNER,3,17,23,8,955057,863371,123457,168,22027
c55e831c-ae99-54a0-ab18-5dd2ea85e140,e0b34a88-2459-580f-a05b-3141035c271b,SERVER,DINNER,3,17,23,8,955057,863371,185289,168,20430
40c928ae-52d5-59a2-93a3-e2b47534d97a,8d59a294-8483-5acb-9baf-a6d5a5cc4432,SERVER,LUNCH,3,11,15,5,465917,463313,153448,85,28018
40c928ae-52d5-59a2-93a3-e2b47534d97a,9214be70-6bd8-51be-ab21-b45d9b028cd1,SERVER,LUNCH,3,11,15,5,465917,463313,141026,85,19406
40c928ae-52d5-59a2-93a3-e2b47534d97a,9b876e46-887f-53e8-ae65-2b4ce255c5d1,COOK,LUNCH,3,11,15,5,465917,463313,0,85,3841
40c928ae-52d5-59a2-93a3-e2b47534d97a,dbae16d0-2e7b-5c54-afe3-efdd3c759ac9,BUSSER,LUNCH,3,11,15,5,465917,463313,0,85,8341
40c928ae-52d5-59a2-93a3-e2b47534d97a,e0b34a88-2459-580f-a05b-3141035c271b,SERVER,LUNCH,3,11,15,5,465917,463313,168839,85,20750
3b8f4177-8fde-5e1f-8df7-cb8e771a2c61,20bedfcb-f538-582e-8520-ee183763971e,HOST,DINNER,4,17,23,8,762767,799599,0,157,11212
3b8f4177-8fde-5e1f-8df7-cb8e771a2c61,263934cb-cc8a-51c8-8cd0-b0f57efadc2e,CHEF,DINNER,4,17,23,8,762767,799599,0,157,8845
